checkpoint_stage,priority,contrast,metric,optimizer_step,clusters,paired_units,mean_delta,bootstrap_ci95_low,bootstrap_ci95_high,origin_means_left_better,origin_means_left_worse,classification,bootstrap_samples,bootstrap_seed_base,negative_delta_means
late,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,96,2,6,0.004520753328038289,0.0015833350924980838,0.007498457656090696,0,2,left_worse,5000,20260729,left algorithm is better
late,baseline,original_newton_muon_vs_muon,normalized_loss_auc,AUC_0_128,2,6,0.0009640854147405786,-0.0024284528657415156,0.004333925308232511,1,1,uncertain,5000,20260729,left algorithm is better
all,primary,selective_diag_vs_muon,normalized_heldout_loss,0,4,12,0.0,0.0,0.0,0,0,uncertain,5000,20260729,left algorithm is better
all,primary,selective_diag_vs_muon,normalized_heldout_loss,112,4,12,0.0028049436043399247,0.0004406366274973141,0.005097371873308786,1,3,left_worse,5000,20260729,left algorithm is better
all,primary,selective_diag_vs_muon,normalized_heldout_loss,128,4,12,0.0018995404762236674,-0.00014247713781611235,0.0038594437653391663,1,3,uncertain,5000,20260729,left algorithm is better
all,primary,selective_diag_vs_muon,normalized_heldout_loss,16,4,12,-0.007921074797980793,-0.012389658277311246,-0.0036430214183883793,4,0,left_better,5000,20260729,left algorithm is better
all,primary,selective_diag_vs_muon,normalized_heldout_loss,32,4,12,-0.006723508507976502,-0.010567220657135331,-0.0028793641931005895,4,0,left_better,5000,20260729,left algorithm is better
all,primary,selective_diag_vs_muon,normalized_heldout_loss,48,4,12,0.0007687060352421319,-0.0027275567920173206,0.004135048047088525,2,2,uncertain,5000,20260729,left algorithm is better
all,primary,selective_diag_vs_muon,normalized_heldout_loss,64,4,12,0.0019367527919016043,-0.0015740343967739193,0.005241452906447434,1,3,uncertain,5000,20260729,left algorithm is better
all,primary,selective_diag_vs_muon,normalized_heldout_loss,80,4,12,0.0037519105330723244,0.0009294036198194768,0.006434387874717683,1,3,left_worse,5000,20260729,left algorithm is better
all,primary,selective_diag_vs_muon,normalized_heldout_loss,96,4,12,0.003029140737046021,0.0004770278279155336,0.005385264169629884,1,3,left_worse,5000,20260729,left algorithm is better
all,primary,selective_diag_vs_muon,normalized_loss_auc,AUC_0_128,4,12,-0.00017541992078045263,-0.003099141595219399,0.002715774767320325,2,2,uncertain,5000,20260729,left algorithm is better
all,primary,selective_none_vs_muon,normalized_heldout_loss,0,4,12,0.0,0.0,0.0,0,0,uncertain,5000,20260729,left algorithm is better
all,primary,selective_none_vs_muon,normalized_heldout_loss,112,4,12,0.00212354255807487,0.00011508525079464868,0.003981648337794556,1,3,left_worse,5000,20260729,left algorithm is better
all,primary,selective_none_vs_muon,normalized_heldout_loss,128,4,12,0.0015829688394713808,1.722855746480572e-05,0.0031142054481534394,1,3,left_worse,5000,20260729,left algorithm is better
all,primary,selective_none_vs_muon,normalized_heldout_loss,16,4,12,-0.007350494718319334,-0.011462838452382615,-0.0033370547489960977,4,0,left_better,5000,20260729,left algorithm is better
all,primary,selective_none_vs_muon,normalized_heldout_loss,32,4,12,-0.0064424146946881295,-0.010044206164188564,-0.002789702507760047,4,0,left_better,5000,20260729,left algorithm is better
all,primary,selective_none_vs_muon,normalized_heldout_loss,48,4,12,-0.000982766392758137,-0.004319239334130612,0.002263340670434471,2,2,uncertain,5000,20260729,left algorithm is better
all,primary,selective_none_vs_muon,normalized_heldout_loss,64,4,12,0.0004302122233400263,-0.002763996432229535,0.003490099718955995,2,2,uncertain,5000,20260729,left algorithm is better
all,primary,selective_none_vs_muon,normalized_heldout_loss,80,4,12,0.002279444496354329,-0.00014229630587537788,0.004710575177087312,1,3,uncertain,5000,20260729,left algorithm is better
all,primary,selective_none_vs_muon,normalized_heldout_loss,96,4,12,0.0020958934694015516,-0.00010362476931157074,0.004106719743377717,1,3,uncertain,5000,20260729,left algorithm is better
all,primary,selective_none_vs_muon,normalized_loss_auc,AUC_0_128,4,12,-0.000881887329857417,-0.0036055212778356954,0.001714974609543322,2,2,uncertain,5000,20260729,left algorithm is better
all,primary,selective_diag_vs_original_newton_muon,normalized_heldout_loss,0,4,12,0.0,0.0,0.0,0,0,uncertain,5000,20260729,left algorithm is better
all,primary,selective_diag_vs_original_newton_muon,normalized_heldout_loss,112,4,12,-0.0018402600570298449,-0.002284047557249229,-0.0014295626742529956,4,0,left_better,5000,20260729,left algorithm is better
all,primary,selective_diag_vs_original_newton_muon,normalized_heldout_loss,128,4,12,-0.001239825624750705,-0.0015453403181880376,-0.0009884120781011774,4,0,left_better,5000,20260729,left algorithm is better
all,primary,selective_diag_vs_original_newton_muon,normalized_heldout_loss,16,4,12,2.8535815778977607e-05,-2.6985243988210397e-05,8.727650718369108e-05,1,3,uncertain,5000,20260729,left algorithm is better
all,primary,selective_diag_vs_original_newton_muon,normalized_heldout_loss,32,4,12,-0.00019895587660053357,-0.000279232191466783,-0.00014036190604644686,4,0,left_better,5000,20260729,left algorithm is better
all,primary,selective_diag_vs_original_newton_muon,normalized_heldout_loss,48,4,12,-0.0028232375232612648,-0.0037385731128386284,-0.001947621125769804,4,0,left_better,5000,20260729,left algorithm is better
all,primary,selective_diag_vs_original_newton_muon,normalized_heldout_loss,64,4,12,-0.003161974225682438,-0.004118923381191748,-0.0022674534726504305,4,0,left_better,5000,20260729,left algorithm is better
all,primary,selective_diag_vs_original_newton_muon,normalized_heldout_loss,80,4,12,-0.003062265541463882,-0.003983797473635458,-0.0022167623595204153,4,0,left_better,5000,20260729,left algorithm is better
all,primary,selective_diag_vs_original_newton_muon,normalized_heldout_loss,96,4,12,-0.0024792233351211,-0.0030762624794033406,-0.001900728544936573,4,0,left_better,5000,20260729,left algorithm is better
all,primary,selective_diag_vs_original_newton_muon,normalized_loss_auc,AUC_0_128,4,12,-0.0017696616944694414,-0.0022541150295898368,-0.0013062889824802175,4,0,left_better,5000,20260729,left algorithm is better
all,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,0,4,12,0.0,0.0,0.0,0,0,uncertain,5000,20260729,left algorithm is better
all,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,112,4,12,-0.0025216611032948997,-0.0028604606584760792,-0.002062234328416575,4,0,left_better,5000,20260729,left algorithm is better
all,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,128,4,12,-0.0015563972615029915,-0.0018815528701105848,-0.001192395669122437,4,0,left_better,5000,20260729,left algorithm is better
all,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,16,4,12,0.0005991158954404366,0.00015653006965154158,0.0010229799041230783,1,3,left_worse,5000,20260729,left algorithm is better
all,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,32,4,12,8.213793668783904e-05,-0.00014924384346641574,0.00035153639913373003,2,2,uncertain,5000,20260729,left algorithm is better
all,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,48,4,12,-0.004574709951261534,-0.005666105570512426,-0.003521016239198432,4,0,left_better,5000,20260729,left algorithm is better
all,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,64,4,12,-0.004668514794244016,-0.005632721332383365,-0.0037605395439458933,4,0,left_better,5000,20260729,left algorithm is better
all,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,80,4,12,-0.0045347315781818776,-0.005457824930244579,-0.003691755004067251,4,0,left_better,5000,20260729,left algorithm is better
all,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,96,4,12,-0.0034124706027655696,-0.0038932570874859094,-0.002871370214971012,4,0,left_better,5000,20260729,left algorithm is better
all,primary,selective_none_vs_original_newton_muon,normalized_loss_auc,AUC_0_128,4,12,-0.002476129103546406,-0.002913316853691639,-0.0020511627238887276,4,0,left_better,5000,20260729,left algorithm is better
all,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,0,4,12,0.0,0.0,0.0,0,0,uncertain,5000,20260729,left algorithm is better
all,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,112,4,12,0.004645203661369769,0.002289763176387297,0.006779165485920983,0,4,left_worse,5000,20260729,left algorithm is better
all,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,128,4,12,0.0031393661009743723,0.001172757546614812,0.004942886099641011,0,4,left_worse,5000,20260729,left algorithm is better
all,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,16,4,12,-0.00794961061375977,-0.01245512355529319,-0.0036327831561282983,4,0,left_better,5000,20260729,left algorithm is better
all,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,32,4,12,-0.006524552631375968,-0.010365136242584375,-0.002667165972373028,4,0,left_better,5000,20260729,left algorithm is better
all,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,48,4,12,0.0035919435585033965,0.00011945724441439628,0.006693609371069106,1,3,left_worse,5000,20260729,left algorithm is better
all,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,64,4,12,0.005098727017584043,0.001409601985123558,0.008243035337915547,1,3,left_worse,5000,20260729,left algorithm is better
all,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,80,4,12,0.006814176074536206,0.003658682726626277,0.009427099603528458,0,4,left_worse,5000,20260729,left algorithm is better
all,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,96,4,12,0.005508364072167121,0.0030562610706040836,0.007707955737591831,0,4,left_worse,5000,20260729,left algorithm is better
all,baseline,original_newton_muon_vs_muon,normalized_loss_auc,AUC_0_128,4,12,0.0015942417736889887,-0.0012434788809480278,0.0042995206960042475,1,3,uncertain,5000,20260729,left algorithm is better
