checkpoint_cell,checkpoint_stage,checkpoint_method,source_method,data_replica,trajectory_node,optimizer_step,heldout_loss,normalized_loss,loss_delta_from_step0,relative_loss_delta_from_step0,arm,source_trajectory_node
early_newton_full,early,newton_full,newton_full,2,shared_all,16,3.4798946380615234,0.9948354998569676,-0.018065214157104492,-0.005164500143032342,delayed_down_refresh,shared_all
early_newton_full,early,newton_full,newton_full,2,shared_no_down,32,3.484757423400879,0.9962256774304098,-0.013202428817749023,-0.0037743225695901586,delayed_down_refresh,shared_no_down
early_newton_full,early,newton_full,newton_full,2,shared_no_down,48,3.504129648208618,1.001763826987916,0.006169795989990234,0.0017638269879161016,delayed_down_refresh,shared_no_down
early_newton_full,early,newton_full,newton_full,2,delayed,64,3.502472400665283,1.0012900515264043,0.0045125484466552734,0.0012900515264042064,delayed_down_refresh,delayed
early_newton_full,early,newton_full,newton_full,2,delayed,80,3.514514446258545,1.0047326426658147,0.016554594039916992,0.004732642665814766,delayed_down_refresh,delayed
early_newton_full,early,newton_full,newton_full,2,delayed,96,3.51115083694458,1.0037710509220354,0.013190984725952148,0.0037710509220354803,delayed_down_refresh,delayed
early_newton_full,early,newton_full,newton_full,2,delayed,112,3.5085020065307617,1.0030138008317755,0.010542154312133789,0.0030138008317754953,delayed_down_refresh,delayed
early_newton_full,early,newton_full,newton_full,2,delayed,128,3.4946675300598145,0.9990587878941134,-0.0032923221588134766,-0.0009412121058866005,delayed_down_refresh,delayed
early_newton_full,early,newton_full,newton_full,2,shared_all,0,3.497959852218628,1.0,0.0,0.0,frozen_down_refresh,shared_all
early_newton_full,early,newton_full,newton_full,2,shared_all,16,3.4798946380615234,0.9948354998569676,-0.018065214157104492,-0.005164500143032342,frozen_down_refresh,shared_all
early_newton_full,early,newton_full,newton_full,2,shared_no_down,32,3.484757423400879,0.9962256774304098,-0.013202428817749023,-0.0037743225695901586,frozen_down_refresh,shared_no_down
early_newton_full,early,newton_full,newton_full,2,shared_no_down,48,3.504129648208618,1.001763826987916,0.006169795989990234,0.0017638269879161016,frozen_down_refresh,shared_no_down
early_newton_full,early,newton_full,newton_full,2,frozen,64,3.5015792846679688,1.0010347266984911,0.0036194324493408203,0.001034726698491164,frozen_down_refresh,frozen
early_newton_full,early,newton_full,newton_full,2,frozen,80,3.503824472427368,1.0016765830531247,0.005864620208740234,0.0016765830531246721,frozen_down_refresh,frozen
early_newton_full,early,newton_full,newton_full,2,frozen,96,3.5009231567382812,1.0008471522386897,0.0029633045196533203,0.0008471522386895907,frozen_down_refresh,frozen
early_newton_full,early,newton_full,newton_full,2,frozen,112,3.49847412109375,1.0001470196619884,0.0005142688751220703,0.0001470196619883697,frozen_down_refresh,frozen
early_newton_full,early,newton_full,newton_full,2,frozen,128,3.485987901687622,0.9965774477018619,-0.01197195053100586,-0.003422552298138153,frozen_down_refresh,frozen
early_newton_full,early,newton_full,newton_full,2,shared_all,0,3.497959852218628,1.0,0.0,0.0,production_newton_muon,shared_all
early_newton_full,early,newton_full,newton_full,2,shared_all,16,3.4798946380615234,0.9948354998569676,-0.018065214157104492,-0.005164500143032342,production_newton_muon,shared_all
early_newton_full,early,newton_full,newton_full,2,production,32,3.486271858215332,0.9966586254568123,-0.011687994003295898,-0.0033413745431876904,production_newton_muon,production
early_newton_full,early,newton_full,newton_full,2,production,48,3.5267927646636963,1.0082427796953646,0.02883291244506836,0.008242779695364627,production_newton_muon,production
early_newton_full,early,newton_full,newton_full,2,production,64,3.5229976177215576,1.0071578195750444,0.025037765502929688,0.007157819575044336,production_newton_muon,production
early_newton_full,early,newton_full,newton_full,2,production,80,3.5247714519500732,1.0076649249460194,0.026811599731445312,0.00766492494601952,production_newton_muon,production
early_newton_full,early,newton_full,newton_full,2,production,96,3.516232967376709,1.005223935073609,0.018273115158081055,0.0052239350736090024,production_newton_muon,production
early_newton_full,early,newton_full,newton_full,2,production,112,3.510357618331909,1.0035442848509017,0.01239776611328125,0.0035442848509018195,production_newton_muon,production
early_newton_full,early,newton_full,newton_full,2,production,128,3.4942054748535156,0.9989266951240933,-0.0037543773651123047,-0.001073304875906749,production_newton_muon,production
late_muon,late,muon,newton_full,0,shared_all,0,2.9699432849884033,1.0,0.0,0.0,delayed_down_refresh,shared_all
late_muon,late,muon,newton_full,0,shared_all,16,2.996082305908203,1.0088011852118253,0.026139020919799805,0.008801185211825305,delayed_down_refresh,shared_all
late_muon,late,muon,newton_full,0,shared_no_down,32,3.0137076377868652,1.0147357537161297,0.043764352798461914,0.014735753716129566,delayed_down_refresh,shared_no_down
late_muon,late,muon,newton_full,0,shared_no_down,48,3.0337281227111816,1.021476786457566,0.06378483772277832,0.0214767864575661,delayed_down_refresh,shared_no_down
late_muon,late,muon,newton_full,0,delayed,64,3.0440073013305664,1.024937855452163,0.07406401634216309,0.02493785545216305,delayed_down_refresh,delayed
late_muon,late,muon,newton_full,0,delayed,80,3.05674147605896,1.0292255382482483,0.08679819107055664,0.02922553824824825,delayed_down_refresh,delayed
late_muon,late,muon,newton_full,0,delayed,96,3.0617685317993164,1.0309181819312996,0.09182524681091309,0.03091818193129962,delayed_down_refresh,delayed
late_muon,late,muon,newton_full,0,delayed,112,3.0651257038116455,1.0320485644639554,0.09518241882324219,0.03204856446395536,delayed_down_refresh,delayed
late_muon,late,muon,newton_full,0,delayed,128,3.0652058124542236,1.0320755375859618,0.09526252746582031,0.03207553758596177,delayed_down_refresh,delayed
late_muon,late,muon,newton_full,0,shared_all,0,2.9699432849884033,1.0,0.0,0.0,frozen_down_refresh,shared_all
late_muon,late,muon,newton_full,0,shared_all,16,2.996082305908203,1.0088011852118253,0.026139020919799805,0.008801185211825305,frozen_down_refresh,shared_all
late_muon,late,muon,newton_full,0,shared_no_down,32,3.0137076377868652,1.0147357537161297,0.043764352798461914,0.014735753716129566,frozen_down_refresh,shared_no_down
late_muon,late,muon,newton_full,0,shared_no_down,48,3.0337281227111816,1.021476786457566,0.06378483772277832,0.0214767864575661,frozen_down_refresh,shared_no_down
late_muon,late,muon,newton_full,0,frozen,64,3.0438294410705566,1.024877968699137,0.07388615608215332,0.0248779686991369,frozen_down_refresh,frozen
late_muon,late,muon,newton_full,0,frozen,80,3.0517287254333496,1.0275377111941266,0.08178544044494629,0.027537711194126603,frozen_down_refresh,frozen
late_muon,late,muon,newton_full,0,frozen,96,3.0566346645355225,1.029189574085573,0.08669137954711914,0.02918957408557303,frozen_down_refresh,frozen
late_muon,late,muon,newton_full,0,frozen,112,3.058884859085083,1.0299472298162176,0.08894157409667969,0.02994722981621751,frozen_down_refresh,frozen
late_muon,late,muon,newton_full,0,frozen,128,3.0600693225860596,1.0303460466915981,0.09012603759765625,0.030346046691598072,frozen_down_refresh,frozen
late_muon,late,muon,newton_full,0,shared_all,0,2.9699432849884033,1.0,0.0,0.0,production_newton_muon,shared_all
late_muon,late,muon,newton_full,0,shared_all,16,2.996082305908203,1.0088011852118253,0.026139020919799805,0.008801185211825305,production_newton_muon,shared_all
late_muon,late,muon,newton_full,0,production,32,3.0140578746795654,1.0148536808477588,0.04411458969116211,0.014853680847758802,production_newton_muon,production
late_muon,late,muon,newton_full,0,production,48,3.043604612350464,1.0248022673477915,0.07366132736206055,0.024802267347791514,production_newton_muon,production
