experiment,scale,method,seed,step,val_loss,local_match
51,455m,global_diag,2024,875,3.3918476104736328,true
51,455m,global_diag,2024,1000,3.3540298938751221,true
51,455m,global_diag,2024,1125,3.3249852657318115,true
51,455m,global_diag,2024,1250,3.3008811473846436,true
51,455m,global_diag,2024,1375,3.2813854217529297,true
51,455m,global_diag,2024,1500,3.2594952583312988,true
51,455m,global_diag,2024,1625,3.245985746383667,true
51,455m,global_diag,2024,1750,3.2311649322509766,true
51,455m,global_diag,2024,1875,3.2144608497619629,true
51,455m,global_diag,2024,2000,3.1996023654937744,true
51,455m,global_diag,2024,2125,3.1840190887451172,true
51,455m,global_diag,2024,2250,3.1697540283203125,true
51,455m,global_diag,2024,2375,3.1580934524536133,true
51,455m,global_diag,2024,2500,3.1462795734405518,true
51,455m,global_diag,2024,2625,3.1338376998901367,true
51,455m,global_diag,2024,2750,3.1242709159851074,true
51,455m,global_diag,2024,2875,3.1140182018280029,true
51,455m,global_diag,2024,3000,3.1029682159423828,true
51,455m,global_diag,2024,3125,3.0919644832611084,true
51,455m,global_diag,2024,3250,3.0820434093475342,true
51,455m,global_diag,2024,3375,3.0728154182434082,true
51,455m,global_diag,2024,3500,3.0643408298492432,true
51,455m,global_diag,2024,3625,3.0563385486602783,true
51,455m,global_diag,2024,3750,3.0483415126800537,true
51,455m,global_diag,2024,3875,3.0397040843963623,true
51,455m,global_diag,2024,4000,3.030491828918457,true
51,455m,global_diag,2024,4125,3.022892951965332,true
51,455m,global_diag,2024,4250,3.0146868228912354,true
51,455m,global_diag,2024,4375,3.0077564716339111,true
51,455m,global_diag,2024,4500,2.9991123676300049,true
51,455m,global_diag,2024,4625,2.9909048080444336,true
51,455m,global_diag,2024,4750,2.9818313121795654,true
51,455m,global_diag,2024,4875,2.9742915630340576,true
51,455m,global_diag,2024,5000,2.966526985168457,true
51,455m,global_diag,2024,5125,2.9590201377868652,true
51,455m,global_diag,2024,5250,2.9517004489898682,true
51,455m,global_diag,2024,5375,2.9447770118713379,true
51,455m,global_diag,2024,5500,2.9386200904846191,true
51,455m,global_diag,2024,5625,2.9327547550201416,true
51,455m,global_diag,2024,5750,2.9275209903717041,true
51,455m,global_diag,2024,5875,2.9237174987792969,true
51,455m,global_diag,2024,5960,2.9224617481231689,true
51,455m,global_diag,2025,0,10.825837135314941,true
51,455m,global_diag,2025,125,4.3341188430786133,true
51,455m,global_diag,2025,250,3.8614563941955566,true
51,455m,global_diag,2025,375,3.6800637245178223,true
51,455m,global_diag,2025,500,3.570115327835083,true
51,455m,global_diag,2025,625,3.4901611804962158,true
51,455m,global_diag,2025,750,3.4360902309417725,true
51,455m,global_diag,2025,875,3.390336275100708,true
51,455m,global_diag,2025,1000,3.3529098033905029,true
51,455m,global_diag,2025,1125,3.3254001140594482,true
51,455m,global_diag,2025,1250,3.3000843524932861,true
51,455m,global_diag,2025,1375,3.2791068553924561,true
51,455m,global_diag,2025,1500,3.2593562602996826,true
51,455m,global_diag,2025,1625,3.2439141273498535,true
51,455m,global_diag,2025,1750,3.2279515266418457,true
51,455m,global_diag,2025,1875,3.213303804397583,true
51,455m,global_diag,2025,2000,3.1974687576293945,true
51,455m,global_diag,2025,2125,3.1819949150085449,true
51,455m,global_diag,2025,2250,3.1680185794830322,true
51,455m,global_diag,2025,2375,3.1577746868133545,true
51,455m,global_diag,2025,2500,3.1468257904052734,true
51,455m,global_diag,2025,2625,3.1338841915130615,true
51,455m,global_diag,2025,2750,3.1241278648376465,true
51,455m,global_diag,2025,2875,3.1140704154968262,true
51,455m,global_diag,2025,3000,3.1043632030487061,true
51,455m,global_diag,2025,3125,3.0930271148681641,true
51,455m,global_diag,2025,3250,3.0824992656707764,true
51,455m,global_diag,2025,3375,3.0733606815338135,true
51,455m,global_diag,2025,3500,3.0651633739471436,true
51,455m,global_diag,2025,3625,3.0569326877593994,true
51,455m,global_diag,2025,3750,3.0483148097991943,true
51,455m,global_diag,2025,3875,3.0398063659667969,true
51,455m,global_diag,2025,4000,3.0296335220336914,true
51,455m,global_diag,2025,4125,3.0221726894378662,true
51,455m,global_diag,2025,4250,3.0144295692443848,true
51,455m,global_diag,2025,4375,3.0071876049041748,true
51,455m,global_diag,2025,4500,2.9982421398162842,true
51,455m,global_diag,2025,4625,2.9902627468109131,true
51,455m,global_diag,2025,4750,2.9810507297515869,true
51,455m,global_diag,2025,4875,2.9731893539428711,true
51,455m,global_diag,2025,5000,2.9654536247253418,true
51,455m,global_diag,2025,5125,2.9578104019165039,true
51,455m,global_diag,2025,5250,2.9505298137664795,true
51,455m,global_diag,2025,5375,2.943528413772583,true
51,455m,global_diag,2025,5500,2.9373157024383545,true
51,455m,global_diag,2025,5625,2.9314420223236084,true
51,455m,global_diag,2025,5750,2.9262146949768066,true
51,455m,global_diag,2025,5875,2.9223930835723877,true
51,455m,global_diag,2025,5960,2.9211432933807373,true
51,455m,global_diag,2026,0,10.825837135314941,true
51,455m,global_diag,2026,125,4.3214125633239746,true
51,455m,global_diag,2026,250,3.8606014251708984,true
51,455m,global_diag,2026,375,3.6849193572998047,true
51,455m,global_diag,2026,500,3.5685474872589111,true
51,455m,global_diag,2026,625,3.4909248352050781,true
51,455m,global_diag,2026,750,3.4375660419464111,true
51,455m,global_diag,2026,875,3.392244815826416,true
51,455m,global_diag,2026,1000,3.3535487651824951,true
51,455m,global_diag,2026,1125,3.3257405757904053,true
51,455m,global_diag,2026,1250,3.3019084930419922,true
51,455m,global_diag,2026,1375,3.2797260284423828,true
51,455m,global_diag,2026,1500,3.2618927955627441,true
51,455m,global_diag,2026,1625,3.2446649074554443,true
51,455m,global_diag,2026,1750,3.2290565967559814,true
51,455m,global_diag,2026,1875,3.2132084369659424,true
51,455m,global_diag,2026,2000,3.1991298198699951,true
51,455m,global_diag,2026,2125,3.1829447746276855,true
51,455m,global_diag,2026,2250,3.1695983409881592,true
51,455m,global_diag,2026,2375,3.1586236953735352,true
51,455m,global_diag,2026,2500,3.1468207836151123,true
51,455m,global_diag,2026,2625,3.1353385448455811,true
51,455m,global_diag,2026,2750,3.1253259181976318,true
51,455m,global_diag,2026,2875,3.1141612529754639,true
51,455m,global_diag,2026,3000,3.104724645614624,true
51,455m,global_diag,2026,3125,3.0941455364227295,true
51,455m,global_diag,2026,3250,3.0834376811981201,true
51,455m,global_diag,2026,3375,3.0745580196380615,true
51,455m,global_diag,2026,3500,3.0660791397094727,true
51,455m,global_diag,2026,3625,3.058276891708374,true
51,455m,global_diag,2026,3750,3.0501859188079834,true
51,455m,global_diag,2026,3875,3.0416169166564941,true
51,455m,global_diag,2026,4000,3.0322940349578857,true
51,455m,global_diag,2026,4125,3.0251216888427734,true
51,455m,global_diag,2026,4250,3.0171041488647461,true
51,455m,global_diag,2026,4375,3.0097322463989258,true
51,455m,global_diag,2026,4500,3.0011069774627686,true
51,455m,global_diag,2026,4625,2.9929807186126709,true
51,455m,global_diag,2026,4750,2.9840848445892334,true
51,455m,global_diag,2026,4875,2.9762766361236572,true
51,455m,global_diag,2026,5000,2.9685494899749756,true
51,455m,global_diag,2026,5125,2.9610674381256104,true
51,455m,global_diag,2026,5250,2.9537396430969238,true
51,455m,global_diag,2026,5375,2.9464876651763916,true
51,455m,global_diag,2026,5500,2.9403202533721924,true
51,455m,global_diag,2026,5625,2.9343252182006836,true
51,455m,global_diag,2026,5750,2.9290359020233154,true
51,455m,global_diag,2026,5875,2.9252505302429199,true
51,455m,global_diag,2026,5960,2.9239957332611084,true
