metric,candidate,candidate_display,reference,reference_display,seed,candidate_value,reference_value,delta_candidate_minus_reference,candidate_better
normalized_val_auc,adamw_low,AdamW,diag,Newton–Muon diag,2025,3.868917741935484,3.612770967741936,0.2561467741935477,False
normalized_val_auc,adamw_low,AdamW,diag,Newton–Muon diag,2026,3.8367330645161295,3.616925,0.21980806451612933,False
normalized_val_auc,adamw_low,AdamW,block4,Newton–Muon block4,2024,3.8767814516129024,3.617296774193548,0.25948467741935444,False
normalized_val_auc,adamw_low,AdamW,block4,Newton–Muon block4,2025,3.868917741935484,3.613564516129033,0.2553532258064508,False
normalized_val_auc,adamw_low,AdamW,block4,Newton–Muon block4,2026,3.8367330645161295,3.617042741935485,0.21969032258064436,False
normalized_val_auc,adamw_low,AdamW,none,Newton–Muon none,2024,3.8767814516129024,3.624296774193548,0.2524846774193543,False
normalized_val_auc,adamw_low,AdamW,none,Newton–Muon none,2025,3.868917741935484,3.622480645161291,0.2464370967741929,False
normalized_val_auc,adamw_low,AdamW,none,Newton–Muon none,2026,3.8367330645161295,3.625599193548388,0.21113387096774128,False
normalized_val_auc,adamw_low,AdamW,muon,Muon,2024,3.8767814516129024,3.6334548387096777,0.24332661290322477,False
normalized_val_auc,adamw_low,AdamW,muon,Muon,2025,3.868917741935484,3.633295161290323,0.23562258064516106,False
normalized_val_auc,adamw_low,AdamW,muon,Muon,2026,3.8367330645161295,3.633407258064516,0.20332580645161347,False
