stage,source_method,event_id,layer_index,nested_row_count,residual_median,residual_mean,residual_max,hard_gate,above_gate_count,condition_before_median,condition_after_median,relative_a_change_median,relative_runtime_inverse_change_median,matched_g_change_median,runtime_ns5_change_median
early,newton_full,delayed_refresh_64,5,3,0.000550709364297,0.000568758514228,0.000622235908179,0.01,0,3281.76122939,2133.63996717,0.292729233345,0.712169930701,0.842371654392,0.534768380421
early,newton_full,delayed_refresh_64,6,3,0.000491364517496,0.000504990765313,0.000543306577695,0.01,0,3095.38755383,1960.20092162,0.295092106846,0.730971918088,0.856692442796,0.545948648835
early,newton_full,delayed_refresh_64,7,3,0.000455333302436,0.000470041444157,0.000512429637324,0.01,0,2081.93591594,1218.86956241,0.354490027726,0.741621628083,0.86064252705,0.552703263661
early,newton_full,delayed_refresh_64,8,3,0.000461806345762,0.000463470527236,0.00048915281391,0.01,0,2109.83985063,1117.92573936,0.354539000893,0.752108159641,0.862183120582,0.555541979862
early,newton_full,delayed_refresh_64,9,3,0.000441340728645,0.000448294658646,0.000469469654872,0.01,0,1641.9845406,951.327319402,0.401920600389,0.760403042476,0.866949349563,0.562010885706
early,newton_full,delayed_refresh_64,10,3,0.000460820094956,0.000461066424183,0.000477534467241,0.01,0,1770.54024108,1130.51671007,0.402915194539,0.7619538233,0.869865808363,0.565960596867
early,newton_full,delayed_refresh_64,11,3,0.000472657772092,0.000474819890472,0.000493310146745,0.01,0,2178.89537127,1215.89469468,0.383168848581,0.767136957224,0.871893828747,0.567211377481
early,newton_full,delayed_refresh_64,12,3,0.000486180943199,0.000495524032995,0.000518294736866,0.01,0,2813.61489577,1635.59337603,0.354141231552,0.771374601254,0.872511462226,0.5723939328
early,newton_full,delayed_refresh_64,13,3,0.000522330548748,0.000530751930882,0.000551741958936,0.01,0,4010.58877485,2607.4560001,0.441165175308,0.767774657999,0.874640921635,0.573836636642
early,newton_full,delayed_refresh_64,14,3,0.00060498896851,0.000597362990333,0.000618176380067,0.01,0,3330.08312711,2293.49916126,0.449158614951,0.773173028538,0.883891464918,0.587829217551
early,newton_full,delayed_refresh_64,15,3,0.00069934915312,0.00073174597046,0.000798381372024,0.01,0,6323.7527614,4784.93140887,0.581386333211,0.747432208412,0.882303871735,0.59361636488
early,newton_full,delayed_refresh_64,16,3,0.000910432958441,0.000919022184706,0.000949781687016,0.01,0,10586.7248262,8323.83210687,0.622149920337,0.720611023368,0.874384986295,0.587942200326
early,newton_full,delayed_refresh_64,17,3,0.00122663537539,0.00124085823793,0.00131252581524,0.01,0,15551.1767961,13711.321569,0.768634880387,0.664500319617,0.864380233908,0.561927463055
early,newton_full,production_refresh_32,0,3,0.00269564897992,0.00267787176074,0.00281065424261,0.01,0,10511.2300643,9911.87111291,0.668944961968,0.503014604081,0.862311038245,0.520553311994
early,newton_full,production_refresh_32,1,3,0.00116806572336,0.00113971191311,0.00132188650566,0.01,0,2504.26612691,1779.26798338,0.438333891695,0.600864202392,0.842015262386,0.536955792302
early,newton_full,production_refresh_32,2,3,0.000790878292794,0.000795427419246,0.00089331385135,0.01,0,3069.49040212,2300.93881469,0.392243811217,0.632629298357,0.834096977395,0.534666204004
early,newton_full,production_refresh_32,3,3,0.000809919264993,0.000764865373884,0.000836222022274,0.01,0,5895.02699635,4263.47836612,0.236435581891,0.636077627337,0.807371340654,0.521980237965
early,newton_full,production_refresh_32,4,3,0.000592042881414,0.000594018609338,0.000650255110853,0.01,0,3555.52723294,2425.29164981,0.253078517691,0.680050330312,0.844508015642,0.551359207325
early,newton_full,production_refresh_32,5,3,0.000567643271404,0.000552186593209,0.000592408892756,0.01,0,3281.7578937,2088.85831914,0.270966959536,0.704052368868,0.845840788369,0.560926915172
early,newton_full,production_refresh_32,6,3,0.00048287134007,0.000500693265256,0.000536418111691,0.01,0,3095.39306223,1961.79585279,0.269993899992,0.720428713386,0.856008240649,0.567518888402
early,newton_full,production_refresh_32,7,3,0.000464143569585,0.00047773999907,0.000505763631112,0.01,0,2081.92044753,1213.96826057,0.343545790645,0.732311135885,0.86105449628,0.577647883027
early,newton_full,production_refresh_32,8,3,0.000458708203494,0.000465876201041,0.000497052004525,0.01,0,2109.97367202,1142.77912472,0.350466901169,0.742946235853,0.862686451403,0.584345782973
early,newton_full,production_refresh_32,9,3,0.00045883682232,0.000456462333624,0.000482370264493,0.01,0,1641.97952871,960.078652944,0.46695445234,0.753729972647,0.870264333858,0.590034028454
early,newton_full,production_refresh_32,10,3,0.000463194412481,0.000456040689731,0.000472477043217,0.01,0,1770.53855494,1144.02955887,0.421291424867,0.756602091157,0.87313182439,0.593919552844
early,newton_full,production_refresh_32,11,3,0.00048494992026,0.000482472348878,0.000494372616276,0.01,0,2178.89049729,1236.98868282,0.405150421739,0.760301064816,0.871795666675,0.593896303761
early,newton_full,production_refresh_32,12,3,0.000503645384607,0.000497335818655,0.000512778555679,0.01,0,2813.61391021,1651.95827804,0.37891638491,0.765573377136,0.872416818939,0.599115266734
early,newton_full,production_refresh_32,13,3,0.000551494393567,0.000546994605763,0.000576548849417,0.01,0,4010.59826579,2637.16196364,0.424597609905,0.761174597655,0.871091549418,0.595265239325
early,newton_full,production_refresh_32,14,3,0.00058927581619,0.000580367210208,0.000598300597337,0.01,0,3330.08667335,2330.22326189,0.493301627889,0.766182173651,0.880532343038,0.608022920784
early,newton_full,production_refresh_32,15,3,0.000744496962092,0.000736440658562,0.000771679189994,0.01,0,6323.75318261,4814.91967847,0.593492978597,0.740841596564,0.878874261776,0.606222040468
early,newton_full,production_refresh_32,16,3,0.000943409594675,0.000940365936428,0.00100759581515,0.01,0,10586.6841816,8397.9299941,0.609585834062,0.711755571715,0.874421598694,0.601797711148
early,newton_full,production_refresh_32,17,3,0.00132019574689,0.00133187795866,0.00136021613506,0.01,0,15551.2668938,13645.3560836,0.700653938881,0.654464243364,0.862926235469,0.575770544322
late,muon,delayed_refresh_64,0,3,0.00135723873545,0.00132489097459,0.00139511326561,0.01,0,2034.28016082,2347.95764135,0.531248517955,0.498613137516,0.741457839447,0.436598845859
late,muon,delayed_refresh_64,1,3,0.000567671940448,0.000581357598262,0.000629326786332,0.01,0,1402.42767348,1280.55348114,0.376912035133,0.585283876404,0.708974789829,0.427479366475
late,muon,delayed_refresh_64,2,3,0.000582139145078,0.000616811815343,0.000725137622505,0.01,0,12804.4683646,10592.9258397,0.121984129739,0.531797800886,0.651099266641,0.381368863725
late,muon,delayed_refresh_64,3,3,0.0104515268515,0.0106054070983,0.0126621163619,0.01,2,26540.2274714,25248.1154048,0.0885146798801,0.155222800261,0.353472580314,0.120048271988
late,muon,delayed_refresh_64,4,3,0.00294980747816,0.00291969421831,0.00297470701778,0.01,0,15723.9570404,11011.4508614,0.235454046485,0.565011052767,0.671059194905,0.394891471296
late,muon,delayed_refresh_64,5,3,0.000466045578758,0.000482551739202,0.000519386794329,0.01,0,2890.74353338,1523.88189566,0.304211834439,0.739557264069,0.814516184388,0.507854777523
late,muon,delayed_refresh_64,6,3,0.000389097211881,0.000389290042771,0.000414534651633,0.01,0,999.817099219,527.81731212,0.353229353192,0.783186839794,0.844833168627,0.53386742447
late,muon,delayed_refresh_64,7,3,0.000386716708798,0.000375972991139,0.00038688941646,0.01,0,1016.88341951,524.428569489,0.367692477763,0.800418908499,0.857138323382,0.542824521525
late,muon,delayed_refresh_64,8,3,0.000357960428553,0.000369416625914,0.000400261686363,0.01,0,1197.2399065,657.856619731,0.420956477808,0.805102071452,0.858144978919,0.543197688086
late,muon,delayed_refresh_64,9,3,0.000375571422278,0.000385882464972,0.000417345743888,0.01,0,1411.45955774,666.635869575,0.486096483763,0.811564406227,0.862348732449,0.547211980716
late,muon,delayed_refresh_64,10,3,0.000349723689277,0.00034858453419,0.000366330472918,0.01,0,4632.85988274,3212.69890544,0.840764922698,0.799873061554,0.8533901321,0.538548134047
late,muon,delayed_refresh_64,11,3,0.000341256054582,0.000348944675195,0.000367410826568,0.01,0,1467.85523904,489.611489475,0.331165005272,0.815434687866,0.865418327269,0.547606086201
