suite,seed,method,validation_loss_threshold,first_wandb_step_at_or_below,time_elapsed_at_first_step_s
owt18l_3k,2026,diag_cproj_k,3.7,,
owt18l_3k,2026,diag_cproj_k,3.6,,
owt18l_3k,2026,diag_cproj_k,3.55,,
owt18l_3k,2026,diag_cproj_k,3.5,,
owt18l_3k,2026,muon_blog,6.2,500.0,40.78784775733948
owt18l_3k,2026,muon_blog,6.1,500.0,40.78784775733948
owt18l_3k,2026,muon_blog,6.0,1000.0,77.9340386390686
owt18l_3k,2026,muon_blog,5.8,1000.0,77.9340386390686
owt18l_3k,2026,muon_blog,5.7,1000.0,77.9340386390686
owt18l_3k,2026,muon_blog,5.6,1500.0,115.65652298927309
owt18l_3k,2026,muon_blog,5.5,1500.0,115.65652298927309
owt18l_3k,2026,muon_blog,5.2,2500.0,190.20423793792725
owt18l_3k,2026,muon_blog,5.1,2500.0,190.20423793792725
owt18l_3k,2026,muon_blog,5.0,,
owt18l_3k,2026,muon_blog,4.0,,
owt18l_3k,2026,muon_blog,3.9,,
owt18l_3k,2026,muon_blog,3.8,,
owt18l_3k,2026,muon_blog,3.7,,
owt18l_3k,2026,muon_blog,3.6,,
owt18l_3k,2026,muon_blog,3.55,,
owt18l_3k,2026,muon_blog,3.5,,
owt18l_3k,2026,no_cproj_k,6.2,500.0,45.93401598930359
owt18l_3k,2026,no_cproj_k,6.1,500.0,45.93401598930359
owt18l_3k,2026,no_cproj_k,6.0,1000.0,88.27671885490417
owt18l_3k,2026,no_cproj_k,5.8,1000.0,88.27671885490417
owt18l_3k,2026,no_cproj_k,5.7,1000.0,88.27671885490417
owt18l_3k,2026,no_cproj_k,5.6,1500.0,131.16088223457336
owt18l_3k,2026,no_cproj_k,5.5,1500.0,131.16088223457336
owt18l_3k,2026,no_cproj_k,5.2,2500.0,215.30665469169617
owt18l_3k,2026,no_cproj_k,5.1,2500.0,215.30665469169617
owt18l_3k,2026,no_cproj_k,5.0,,
owt18l_3k,2026,no_cproj_k,4.0,,
owt18l_3k,2026,no_cproj_k,3.9,,
owt18l_3k,2026,no_cproj_k,3.8,,
owt18l_3k,2026,no_cproj_k,3.7,,
owt18l_3k,2026,no_cproj_k,3.6,,
owt18l_3k,2026,no_cproj_k,3.55,,
owt18l_3k,2026,no_cproj_k,3.5,,
owt18l_3k,2026,paper_block4,6.2,500.0,52.78121256828308
owt18l_3k,2026,paper_block4,6.1,500.0,52.78121256828308
owt18l_3k,2026,paper_block4,6.0,1000.0,102.47675037384032
owt18l_3k,2026,paper_block4,5.8,1000.0,102.47675037384032
owt18l_3k,2026,paper_block4,5.7,1000.0,102.47675037384032
owt18l_3k,2026,paper_block4,5.6,1500.0,152.36778092384338
owt18l_3k,2026,paper_block4,5.5,1500.0,152.36778092384338
owt18l_3k,2026,paper_block4,5.2,2500.0,251.9161217212677
owt18l_3k,2026,paper_block4,5.1,2500.0,251.9161217212677
owt18l_3k,2026,paper_block4,5.0,,
owt18l_3k,2026,paper_block4,4.0,,
owt18l_3k,2026,paper_block4,3.9,,
owt18l_3k,2026,paper_block4,3.8,,
owt18l_3k,2026,paper_block4,3.7,,
owt18l_3k,2026,paper_block4,3.6,,
owt18l_3k,2026,paper_block4,3.55,,
owt18l_3k,2026,paper_block4,3.5,,
owt24l_12k,2024,diag_cproj_k,6.2,1500.0,187.8619647026062
owt24l_12k,2024,diag_cproj_k,6.1,1500.0,187.8619647026062
owt24l_12k,2024,diag_cproj_k,6.0,2500.0,304.9534993171692
owt24l_12k,2024,diag_cproj_k,5.8,3500.0,420.846480846405
owt24l_12k,2024,diag_cproj_k,5.7,7500.0,882.0346319675446
owt24l_12k,2024,diag_cproj_k,5.6,9500.0,1105.727275848389
owt24l_12k,2024,diag_cproj_k,5.5,10000.0,1166.1786019802094
owt24l_12k,2024,diag_cproj_k,5.2,,
owt24l_12k,2024,diag_cproj_k,5.1,,
owt24l_12k,2024,diag_cproj_k,5.0,,
owt24l_12k,2024,diag_cproj_k,4.0,,
owt24l_12k,2024,diag_cproj_k,3.9,,
owt24l_12k,2024,diag_cproj_k,3.8,,
owt24l_12k,2024,diag_cproj_k,3.7,,
owt24l_12k,2024,diag_cproj_k,3.6,,
owt24l_12k,2024,diag_cproj_k,3.55,,
owt24l_12k,2024,diag_cproj_k,3.5,,
owt24l_12k,2024,muon_blog,6.2,1500.0,170.64794969558716
owt24l_12k,2024,muon_blog,6.1,2500.0,276.11350321769714
owt24l_12k,2024,muon_blog,6.0,2500.0,276.11350321769714
owt24l_12k,2024,muon_blog,5.8,,
owt24l_12k,2024,muon_blog,5.7,,
owt24l_12k,2024,muon_blog,5.6,,
owt24l_12k,2024,muon_blog,5.5,,
owt24l_12k,2024,muon_blog,5.2,,
owt24l_12k,2024,muon_blog,5.1,,
owt24l_12k,2024,muon_blog,5.0,,
owt24l_12k,2024,muon_blog,4.0,,
owt24l_12k,2024,muon_blog,3.9,,
owt24l_12k,2024,muon_blog,3.8,,
owt24l_12k,2024,muon_blog,3.7,,
owt24l_12k,2024,muon_blog,3.6,,
owt24l_12k,2024,muon_blog,3.55,,
owt24l_12k,2024,muon_blog,3.5,,
owt24l_12k,2024,no_cproj_k,6.2,1500.0,181.7590389251709
owt24l_12k,2024,no_cproj_k,6.1,1500.0,181.7590389251709
owt24l_12k,2024,no_cproj_k,6.0,2500.0,297.5111951828003
owt24l_12k,2024,no_cproj_k,5.8,3500.0,415.1180374622345
